timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/07/09 01:06:16.389, 100 %, 49 %, 20065 MiB, 81920 MiB, 57, 407.18 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:16.640, 44 %, 14 %, 20065 MiB, 81920 MiB, 46, 95.69 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:16.890, 2 %, 0 %, 20065 MiB, 81920 MiB, 44, 93.89 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:17.140, 4 %, 0 %, 20065 MiB, 81920 MiB, 43, 93.89 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:17.391, 5 %, 0 %, 20065 MiB, 81920 MiB, 43, 93.89 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:17.641, 75 %, 49 %, 20065 MiB, 81920 MiB, 53, 346.74 W, 400.00 W, 1380 MHz, 1593 MHz, P0
2026/07/09 01:06:17.892, 100 %, 68 %, 20065 MiB, 81920 MiB, 54, 398.66 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:18.143, 100 %, 66 %, 20065 MiB, 81920 MiB, 56, 404.12 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:18.403, 77 %, 33 %, 20065 MiB, 81920 MiB, 50, 321.83 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:18.653, 8 %, 0 %, 20065 MiB, 81920 MiB, 45, 96.62 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:18.903, 5 %, 0 %, 20065 MiB, 81920 MiB, 44, 95.09 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:19.154, 4 %, 0 %, 20065 MiB, 81920 MiB, 43, 94.16 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:19.404, 34 %, 22 %, 20065 MiB, 81920 MiB, 49, 100.89 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:19.655, 100 %, 65 %, 20065 MiB, 81920 MiB, 53, 333.96 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:19.905, 100 %, 67 %, 20065 MiB, 81920 MiB, 55, 400.79 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:20.156, 100 %, 49 %, 20065 MiB, 81920 MiB, 57, 401.12 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:20.406, 38 %, 11 %, 20065 MiB, 81920 MiB, 48, 105.16 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:20.657, 2 %, 0 %, 20065 MiB, 81920 MiB, 45, 96.29 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:20.907, 3 %, 0 %, 20065 MiB, 81920 MiB, 44, 96.62 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:21.158, 4 %, 0 %, 20065 MiB, 81920 MiB, 43, 94.16 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:21.408, 50 %, 33 %, 20065 MiB, 81920 MiB, 50, 305.39 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:21.658, 100 %, 65 %, 20065 MiB, 81920 MiB, 54, 334.88 W, 400.00 W, 1410 MHz, 1593 MHz, P0
