timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/07/09 01:00:22.297, 32 %, 7 %, 20065 MiB, 81920 MiB, 44, 92.26 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:22.618, 1 %, 0 %, 20065 MiB, 81920 MiB, 42, 93.46 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:22.869, 4 %, 0 %, 20065 MiB, 81920 MiB, 41, 93.46 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:23.119, 5 %, 0 %, 20065 MiB, 81920 MiB, 41, 91.33 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:23.369, 4 %, 0 %, 20065 MiB, 81920 MiB, 48, 388.62 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:23.621, 100 %, 67 %, 20065 MiB, 81920 MiB, 52, 403.85 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:23.871, 100 %, 65 %, 20065 MiB, 81920 MiB, 52, 343.98 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:00:24.122, 100 %, 60 %, 20065 MiB, 81920 MiB, 55, 405.98 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:24.372, 100 %, 49 %, 20065 MiB, 81920 MiB, 46, 120.58 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:24.625, 2 %, 0 %, 20065 MiB, 81920 MiB, 43, 93.79 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:24.875, 4 %, 0 %, 20065 MiB, 81920 MiB, 42, 92.86 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:25.126, 4 %, 0 %, 20065 MiB, 81920 MiB, 42, 95.86 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:25.376, 4 %, 0 %, 20065 MiB, 81920 MiB, 41, 92.53 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:25.626, 87 %, 58 %, 20065 MiB, 81920 MiB, 51, 388.95 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:00:25.877, 100 %, 69 %, 20065 MiB, 81920 MiB, 53, 372.52 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:26.127, 100 %, 65 %, 20065 MiB, 81920 MiB, 55, 383.77 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:26.378, 100 %, 55 %, 20065 MiB, 81920 MiB, 56, 399.59 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:26.628, 12 %, 0 %, 20065 MiB, 81920 MiB, 45, 94.06 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:26.879, 4 %, 0 %, 20065 MiB, 81920 MiB, 43, 95.27 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:27.129, 5 %, 0 %, 20065 MiB, 81920 MiB, 42, 92.86 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:27.380, 4 %, 0 %, 20065 MiB, 81920 MiB, 42, 91.33 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:27.630, 87 %, 58 %, 20065 MiB, 81920 MiB, 52, 390.15 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:00:27.881, 100 %, 69 %, 20065 MiB, 81920 MiB, 53, 374.05 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:28.131, 100 %, 65 %, 20065 MiB, 81920 MiB, 55, 388.03 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:28.382, 100 %, 55 %, 20065 MiB, 81920 MiB, 56, 396.54 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:28.632, 13 %, 0 %, 20065 MiB, 81920 MiB, 45, 94.06 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:28.883, 2 %, 0 %, 20065 MiB, 81920 MiB, 44, 93.13 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:29.133, 5 %, 1 %, 20065 MiB, 81920 MiB, 43, 92.53 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:29.383, 4 %, 0 %, 20065 MiB, 81920 MiB, 42, 93.46 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:29.634, 70 %, 46 %, 20065 MiB, 81920 MiB, 51, 395.93 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:29.884, 100 %, 68 %, 20065 MiB, 81920 MiB, 52, 321.23 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:00:30.135, 100 %, 65 %, 20065 MiB, 81920 MiB, 55, 347.31 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:00:30.385, 100 %, 59 %, 20065 MiB, 81920 MiB, 56, 409.91 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:30.636, 100 %, 49 %, 20065 MiB, 81920 MiB, 50, 123.32 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:30.887, 2 %, 0 %, 20065 MiB, 81920 MiB, 44, 95.00 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:31.138, 4 %, 0 %, 20065 MiB, 81920 MiB, 43, 94.06 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:31.388, 5 %, 0 %, 20065 MiB, 81920 MiB, 43, 94.39 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:31.639, 4 %, 0 %, 20065 MiB, 81920 MiB, 50, 377.11 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:31.901, 100 %, 70 %, 20065 MiB, 81920 MiB, 53, 379.84 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:32.152, 100 %, 65 %, 20065 MiB, 81920 MiB, 55, 392.01 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:32.402, 100 %, 54 %, 20065 MiB, 81920 MiB, 56, 398.66 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:32.653, 67 %, 27 %, 20065 MiB, 81920 MiB, 47, 95.59 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:32.906, 3 %, 0 %, 20065 MiB, 81920 MiB, 44, 94.39 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:33.156, 5 %, 0 %, 20065 MiB, 81920 MiB, 43, 92.86 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:33.406, 4 %, 0 %, 20065 MiB, 81920 MiB, 43, 93.46 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:33.657, 57 %, 38 %, 20065 MiB, 81920 MiB, 53, 398.99 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:00:33.917, 100 %, 66 %, 20065 MiB, 81920 MiB, 55, 369.79 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:00:34.168, 100 %, 62 %, 20065 MiB, 81920 MiB, 56, 397.14 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:00:34.418, 91 %, 43 %, 20065 MiB, 81920 MiB, 48, 101.66 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:34.720, 3 %, 0 %, 20065 MiB, 81920 MiB, 44, 95.00 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:34.970, 3 %, 0 %, 20065 MiB, 81920 MiB, 43, 94.39 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:35.221, 5 %, 0 %, 20065 MiB, 81920 MiB, 45, 215.03 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:35.471, 5 %, 0 %, 20065 MiB, 81920 MiB, 50, 398.66 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:00:35.732, 100 %, 65 %, 20065 MiB, 81920 MiB, 55, 420.22 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:35.982, 100 %, 69 %, 20065 MiB, 81920 MiB, 56, 401.39 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:36.233, 100 %, 49 %, 20065 MiB, 81920 MiB, 50, 236.33 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:36.483, 53 %, 19 %, 20065 MiB, 81920 MiB, 45, 95.59 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:36.736, 4 %, 0 %, 20065 MiB, 81920 MiB, 44, 94.39 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:36.987, 3 %, 0 %, 20065 MiB, 81920 MiB, 43, 95.00 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:37.237, 3 %, 0 %, 20065 MiB, 81920 MiB, 45, 93.46 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:37.489, 36 %, 24 %, 20065 MiB, 81920 MiB, 52, 374.05 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:00:37.744, 100 %, 65 %, 20065 MiB, 81920 MiB, 55, 402.93 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:00:37.995, 100 %, 67 %, 20065 MiB, 81920 MiB, 56, 378.64 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:38.246, 100 %, 49 %, 20065 MiB, 81920 MiB, 49, 167.12 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:38.496, 50 %, 17 %, 20065 MiB, 81920 MiB, 46, 95.27 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:38.748, 3 %, 0 %, 20065 MiB, 81920 MiB, 44, 96.53 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:38.998, 4 %, 0 %, 20065 MiB, 81920 MiB, 43, 93.13 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:39.248, 4 %, 0 %, 20065 MiB, 81920 MiB, 45, 93.13 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:00:39.499, 38 %, 26 %, 20065 MiB, 81920 MiB, 52, 395.61 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:00:39.749, 100 %, 65 %, 20065 MiB, 81920 MiB, 55, 389.23 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:00:40.000, 100 %, 67 %, 20065 MiB, 81920 MiB, 56, 385.30 W, 400.00 W, 1410 MHz, 1593 MHz, P0
