timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/07/09 01:11:55.260, 5 %, 0 %, 22859 MiB, 81920 MiB, 44, 92.63 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:11:55.521, 0 %, 0 %, 22859 MiB, 81920 MiB, 43, 92.02 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:11:55.773, 4 %, 0 %, 22859 MiB, 81920 MiB, 43, 92.63 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:11:56.023, 4 %, 0 %, 22859 MiB, 81920 MiB, 42, 93.55 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:11:56.274, 4 %, 0 %, 22859 MiB, 81920 MiB, 47, 224.71 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:11:56.524, 64 %, 42 %, 22859 MiB, 81920 MiB, 52, 395.15 W, 400.00 W, 1380 MHz, 1593 MHz, P0
2026/07/09 01:11:56.775, 100 %, 65 %, 22859 MiB, 81920 MiB, 54, 404.72 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:11:57.025, 100 %, 58 %, 22859 MiB, 81920 MiB, 56, 394.14 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:11:57.276, 100 %, 50 %, 22859 MiB, 81920 MiB, 48, 124.92 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:11:57.526, 30 %, 6 %, 22859 MiB, 81920 MiB, 45, 94.16 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:11:57.776, 4 %, 0 %, 22859 MiB, 81920 MiB, 44, 94.16 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:11:58.027, 4 %, 0 %, 22859 MiB, 81920 MiB, 43, 95.09 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:11:58.277, 3 %, 0 %, 22859 MiB, 81920 MiB, 42, 92.63 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:11:58.528, 4 %, 0 %, 22859 MiB, 81920 MiB, 49, 331.55 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:11:58.778, 100 %, 68 %, 22859 MiB, 81920 MiB, 53, 336.42 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:11:59.029, 100 %, 65 %, 22859 MiB, 81920 MiB, 54, 346.47 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:11:59.279, 99 %, 55 %, 22859 MiB, 81920 MiB, 57, 404.72 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:11:59.530, 97 %, 50 %, 22859 MiB, 81920 MiB, 49, 125.58 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:11:59.780, 1 %, 0 %, 22859 MiB, 81920 MiB, 45, 95.69 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:12:00.031, 4 %, 0 %, 22859 MiB, 81920 MiB, 44, 94.76 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:12:00.281, 3 %, 0 %, 22859 MiB, 81920 MiB, 43, 94.16 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:12:00.531, 4 %, 0 %, 22859 MiB, 81920 MiB, 46, 278.61 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:12:00.782, 67 %, 44 %, 22859 MiB, 81920 MiB, 52, 378.37 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:12:01.035, 100 %, 65 %, 22859 MiB, 81920 MiB, 54, 405.98 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:12:01.286, 100 %, 58 %, 22859 MiB, 81920 MiB, 57, 401.99 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:12:01.536, 100 %, 50 %, 22859 MiB, 81920 MiB, 50, 127.06 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:12:01.787, 26 %, 5 %, 22859 MiB, 81920 MiB, 46, 94.76 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:12:02.037, 4 %, 0 %, 22859 MiB, 81920 MiB, 44, 94.49 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:12:02.288, 4 %, 0 %, 22859 MiB, 81920 MiB, 43, 93.55 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:12:02.538, 4 %, 0 %, 22859 MiB, 81920 MiB, 43, 92.95 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:12:02.789, 28 %, 19 %, 22859 MiB, 81920 MiB, 52, 396.21 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:12:03.049, 100 %, 67 %, 22859 MiB, 81920 MiB, 55, 353.46 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:12:03.300, 100 %, 63 %, 22859 MiB, 81920 MiB, 56, 401.12 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:12:03.551, 100 %, 50 %, 22859 MiB, 81920 MiB, 57, 113.65 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:12:03.801, 79 %, 38 %, 22859 MiB, 81920 MiB, 49, 100.57 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:12:04.054, 2 %, 0 %, 22859 MiB, 81920 MiB, 45, 95.69 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:12:04.304, 2 %, 0 %, 22859 MiB, 81920 MiB, 44, 94.76 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:12:04.554, 4 %, 0 %, 22859 MiB, 81920 MiB, 46, 335.81 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:12:04.805, 27 %, 18 %, 22859 MiB, 81920 MiB, 53, 346.47 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:12:05.073, 100 %, 65 %, 22859 MiB, 81920 MiB, 55, 407.78 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:12:05.324, 100 %, 67 %, 22859 MiB, 81920 MiB, 56, 379.30 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:12:05.574, 100 %, 50 %, 22859 MiB, 81920 MiB, 50, 137.13 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:12:05.825, 46 %, 17 %, 22859 MiB, 81920 MiB, 46, 95.69 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:12:06.075, 4 %, 0 %, 22859 MiB, 81920 MiB, 45, 96.29 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:12:06.326, 3 %, 0 %, 22859 MiB, 81920 MiB, 44, 95.36 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:12:06.576, 4 %, 0 %, 22859 MiB, 81920 MiB, 50, 228.04 W, 400.00 W, 1410 MHz, 1593 MHz, P0
