timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/07/09 01:17:49.642, 10 %, 0 %, 22859 MiB, 81920 MiB, 44, 96.29 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:49.902, 0 %, 0 %, 22859 MiB, 81920 MiB, 43, 93.23 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:50.152, 2 %, 0 %, 22859 MiB, 81920 MiB, 43, 93.89 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:50.402, 4 %, 0 %, 22859 MiB, 81920 MiB, 42, 93.89 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:50.653, 5 %, 0 %, 22859 MiB, 81920 MiB, 50, 328.23 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:50.903, 99 %, 66 %, 22859 MiB, 81920 MiB, 52, 349.47 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:17:51.154, 100 %, 68 %, 22859 MiB, 81920 MiB, 54, 349.80 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:17:51.404, 100 %, 65 %, 22859 MiB, 81920 MiB, 56, 401.99 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:51.655, 79 %, 38 %, 22859 MiB, 81920 MiB, 47, 127.71 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:51.905, 14 %, 0 %, 22859 MiB, 81920 MiB, 45, 95.69 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:52.156, 3 %, 0 %, 22859 MiB, 81920 MiB, 44, 94.76 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:52.406, 4 %, 0 %, 22859 MiB, 81920 MiB, 43, 93.23 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:52.656, 5 %, 1 %, 22859 MiB, 81920 MiB, 43, 92.95 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:52.907, 19 %, 11 %, 22859 MiB, 81920 MiB, 51, 378.70 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:53.157, 100 %, 65 %, 22859 MiB, 81920 MiB, 52, 395.61 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:53.414, 100 %, 67 %, 22859 MiB, 81920 MiB, 54, 388.95 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:53.665, 100 %, 50 %, 22859 MiB, 81920 MiB, 57, 400.20 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:53.916, 68 %, 30 %, 22859 MiB, 81920 MiB, 47, 100.89 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:54.219, 4 %, 0 %, 22859 MiB, 81920 MiB, 44, 95.69 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:54.470, 4 %, 0 %, 22859 MiB, 81920 MiB, 43, 93.55 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:54.720, 4 %, 0 %, 22859 MiB, 81920 MiB, 44, 94.16 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:54.971, 18 %, 10 %, 22859 MiB, 81920 MiB, 50, 366.52 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:55.231, 100 %, 68 %, 22859 MiB, 81920 MiB, 55, 373.51 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:17:55.481, 100 %, 65 %, 22859 MiB, 81920 MiB, 56, 396.02 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:55.732, 100 %, 51 %, 22859 MiB, 81920 MiB, 52, 150.71 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:55.982, 70 %, 31 %, 22859 MiB, 81920 MiB, 46, 95.36 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:56.236, 4 %, 0 %, 22859 MiB, 81920 MiB, 44, 95.36 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:56.486, 5 %, 0 %, 22859 MiB, 81920 MiB, 44, 93.89 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:56.736, 4 %, 0 %, 22859 MiB, 81920 MiB, 43, 93.55 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:56.987, 4 %, 0 %, 22859 MiB, 81920 MiB, 51, 398.34 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:57.244, 100 %, 67 %, 22859 MiB, 81920 MiB, 55, 406.25 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:57.495, 100 %, 64 %, 22859 MiB, 81920 MiB, 55, 380.44 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:17:57.745, 100 %, 55 %, 22859 MiB, 81920 MiB, 57, 405.98 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:57.996, 100 %, 50 %, 22859 MiB, 81920 MiB, 49, 109.38 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:58.250, 2 %, 0 %, 22859 MiB, 81920 MiB, 45, 95.36 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:58.500, 5 %, 0 %, 22859 MiB, 81920 MiB, 45, 95.09 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:58.751, 5 %, 0 %, 22859 MiB, 81920 MiB, 44, 95.36 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:59.001, 4 %, 0 %, 22859 MiB, 81920 MiB, 52, 400.79 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:59.252, 100 %, 68 %, 22859 MiB, 81920 MiB, 55, 403.25 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:17:59.502, 100 %, 64 %, 22859 MiB, 81920 MiB, 56, 372.31 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:17:59.752, 100 %, 54 %, 22859 MiB, 81920 MiB, 54, 160.12 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:18:00.003, 71 %, 32 %, 22859 MiB, 81920 MiB, 47, 95.69 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:18:00.253, 4 %, 0 %, 22859 MiB, 81920 MiB, 45, 95.36 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:18:00.504, 5 %, 0 %, 22859 MiB, 81920 MiB, 44, 94.49 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:18:00.754, 4 %, 0 %, 22859 MiB, 81920 MiB, 44, 279.51 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:18:01.005, 41 %, 28 %, 22859 MiB, 81920 MiB, 54, 392.69 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:18:01.255, 100 %, 68 %, 22859 MiB, 81920 MiB, 56, 410.24 W, 400.00 W, 1380 MHz, 1593 MHz, P0
2026/07/09 01:18:01.506, 100 %, 61 %, 22859 MiB, 81920 MiB, 57, 406.58 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:18:01.756, 100 %, 51 %, 22859 MiB, 81920 MiB, 50, 102.70 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:18:02.007, 27 %, 5 %, 22859 MiB, 81920 MiB, 46, 95.96 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:18:02.257, 4 %, 0 %, 22859 MiB, 81920 MiB, 45, 94.76 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:18:02.507, 4 %, 0 %, 22859 MiB, 81920 MiB, 44, 94.76 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:18:02.758, 4 %, 0 %, 22859 MiB, 81920 MiB, 52, 395.34 W, 400.00 W, 1410 MHz, 1593 MHz, P0
