timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/07/09 01:23:38.137, 42 %, 12 %, 20065 MiB, 81920 MiB, 41, 92.02 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:38.406, 1 %, 0 %, 20065 MiB, 81920 MiB, 40, 90.22 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:38.657, 5 %, 0 %, 20065 MiB, 81920 MiB, 40, 92.36 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:38.907, 5 %, 0 %, 20065 MiB, 81920 MiB, 39, 89.89 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:39.158, 5 %, 0 %, 20065 MiB, 81920 MiB, 39, 91.10 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:39.433, 100 %, 67 %, 20065 MiB, 81920 MiB, 49, 326.97 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:23:39.684, 100 %, 66 %, 20065 MiB, 81920 MiB, 51, 398.99 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:23:39.935, 97 %, 61 %, 20065 MiB, 81920 MiB, 53, 399.59 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:40.185, 100 %, 49 %, 20065 MiB, 81920 MiB, 45, 124.92 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:40.444, 2 %, 0 %, 20065 MiB, 81920 MiB, 41, 94.49 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:40.697, 4 %, 0 %, 20065 MiB, 81920 MiB, 40, 94.16 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:40.947, 4 %, 0 %, 20065 MiB, 81920 MiB, 40, 95.96 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:41.197, 4 %, 0 %, 20065 MiB, 81920 MiB, 40, 91.10 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:41.448, 78 %, 52 %, 20065 MiB, 81920 MiB, 49, 387.50 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:23:41.698, 100 %, 69 %, 20065 MiB, 81920 MiB, 50, 346.14 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:41.949, 100 %, 66 %, 20065 MiB, 81920 MiB, 52, 374.38 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:42.199, 100 %, 56 %, 20065 MiB, 81920 MiB, 54, 400.79 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:42.450, 14 %, 0 %, 20065 MiB, 81920 MiB, 43, 93.23 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:42.700, 3 %, 0 %, 20065 MiB, 81920 MiB, 42, 92.95 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:42.951, 4 %, 0 %, 20065 MiB, 81920 MiB, 41, 92.36 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:43.202, 4 %, 0 %, 20065 MiB, 81920 MiB, 40, 90.82 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:43.466, 92 %, 61 %, 20065 MiB, 81920 MiB, 49, 392.01 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:23:43.717, 100 %, 69 %, 20065 MiB, 81920 MiB, 51, 365.64 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:23:43.967, 100 %, 65 %, 20065 MiB, 81920 MiB, 53, 387.82 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:44.217, 100 %, 54 %, 20065 MiB, 81920 MiB, 54, 399.59 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:44.468, 11 %, 0 %, 20065 MiB, 81920 MiB, 43, 92.95 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:44.718, 3 %, 0 %, 20065 MiB, 81920 MiB, 42, 92.36 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:44.969, 5 %, 1 %, 20065 MiB, 81920 MiB, 41, 92.02 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:45.219, 4 %, 0 %, 20065 MiB, 81920 MiB, 41, 92.63 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:45.470, 70 %, 46 %, 20065 MiB, 81920 MiB, 49, 392.01 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:45.720, 100 %, 68 %, 20065 MiB, 81920 MiB, 51, 366.74 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:23:45.974, 100 %, 65 %, 20065 MiB, 81920 MiB, 53, 330.62 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:23:46.225, 100 %, 59 %, 20065 MiB, 81920 MiB, 55, 402.32 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:46.476, 40 %, 11 %, 20065 MiB, 81920 MiB, 45, 98.43 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:46.726, 2 %, 0 %, 20065 MiB, 81920 MiB, 42, 94.49 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:46.977, 4 %, 0 %, 20065 MiB, 81920 MiB, 42, 93.46 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:47.227, 5 %, 0 %, 20065 MiB, 81920 MiB, 41, 93.23 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:47.478, 88 %, 59 %, 20065 MiB, 81920 MiB, 51, 401.12 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:47.728, 100 %, 69 %, 20065 MiB, 81920 MiB, 52, 402.32 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:47.978, 100 %, 65 %, 20065 MiB, 81920 MiB, 54, 390.48 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:48.229, 73 %, 31 %, 20065 MiB, 81920 MiB, 48, 127.25 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:48.479, 6 %, 0 %, 20065 MiB, 81920 MiB, 44, 95.00 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:48.730, 4 %, 0 %, 20065 MiB, 81920 MiB, 42, 95.00 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:48.981, 4 %, 0 %, 20065 MiB, 81920 MiB, 42, 92.86 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:49.231, 39 %, 26 %, 20065 MiB, 81920 MiB, 46, 359.48 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:49.482, 39 %, 26 %, 20065 MiB, 81920 MiB, 50, 357.35 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:23:49.735, 100 %, 67 %, 20065 MiB, 81920 MiB, 53, 391.35 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:23:49.985, 100 %, 64 %, 20065 MiB, 81920 MiB, 55, 400.79 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:50.236, 24 %, 4 %, 20065 MiB, 81920 MiB, 46, 95.09 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:50.486, 24 %, 4 %, 20065 MiB, 81920 MiB, 44, 94.06 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:50.740, 3 %, 0 %, 20065 MiB, 81920 MiB, 42, 94.49 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:50.990, 4 %, 0 %, 20065 MiB, 81920 MiB, 42, 93.46 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:51.241, 4 %, 0 %, 20065 MiB, 81920 MiB, 50, 382.24 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:51.551, 91 %, 61 %, 20065 MiB, 81920 MiB, 53, 382.57 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:51.802, 100 %, 70 %, 20065 MiB, 81920 MiB, 53, 405.38 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:52.052, 100 %, 54 %, 20065 MiB, 81920 MiB, 51, 393.48 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:23:52.303, 70 %, 29 %, 20065 MiB, 81920 MiB, 45, 96.80 W, 400.00 W, 1410 MHz, 1593 MHz, P0
