timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/07/08 23:28:22.440, 100 %, 55 %, 18269 MiB, 81920 MiB, 52, 398.36 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:22.691, 84 %, 41 %, 18269 MiB, 81920 MiB, 44, 94.47 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:22.941, 13 %, 0 %, 18269 MiB, 81920 MiB, 43, 95.57 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:23.192, 5 %, 0 %, 18269 MiB, 81920 MiB, 42, 92.84 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:23.442, 4 %, 0 %, 18269 MiB, 81920 MiB, 43, 93.17 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:23.693, 44 %, 29 %, 18269 MiB, 81920 MiB, 49, 385.90 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:23.945, 100 %, 64 %, 18269 MiB, 81920 MiB, 51, 387.74 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:24.195, 100 %, 61 %, 18269 MiB, 81920 MiB, 52, 394.11 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:24.446, 100 %, 50 %, 18269 MiB, 81920 MiB, 46, 116.83 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:24.696, 25 %, 5 %, 18269 MiB, 81920 MiB, 44, 93.77 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:24.949, 2 %, 0 %, 18269 MiB, 81920 MiB, 43, 93.50 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:25.200, 4 %, 0 %, 18269 MiB, 81920 MiB, 42, 93.87 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:25.450, 17 %, 10 %, 18269 MiB, 81920 MiB, 48, 389.55 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:25.701, 100 %, 65 %, 18269 MiB, 81920 MiB, 51, 385.30 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:25.955, 100 %, 68 %, 18269 MiB, 81920 MiB, 51, 322.63 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/08 23:28:26.205, 100 %, 50 %, 18269 MiB, 81920 MiB, 49, 398.96 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:26.456, 56 %, 22 %, 18269 MiB, 81920 MiB, 45, 95.30 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:26.706, 5 %, 0 %, 18269 MiB, 81920 MiB, 43, 94.10 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:26.957, 3 %, 0 %, 18269 MiB, 81920 MiB, 43, 94.10 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:27.207, 4 %, 0 %, 18269 MiB, 81920 MiB, 42, 93.50 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:27.458, 52 %, 35 %, 18269 MiB, 81920 MiB, 50, 357.12 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/08 23:28:27.708, 100 %, 66 %, 18269 MiB, 81920 MiB, 51, 360.16 W, 400.00 W, 1380 MHz, 1593 MHz, P0
2026/07/08 23:28:27.960, 100 %, 66 %, 18269 MiB, 81920 MiB, 52, 378.66 W, 400.00 W, 1410 MHz, 1593 MHz, P0
